candy_name,ingredients,image_url,,,,,,,,,,,,,,,,,,,,,,,
Jujyfruits,"Corn Syrup, Sugar, Modified Food Starch, Cornstarch, Natural flavor, Artificial Flavors, White Mineral Oil, Carnauba Wax, Caramel Color, Blue 1, Yellow 6, Red 40, Yellow 5",https://images-na.ssl-images-amazon.com/images/I/71Hy2wjjyLL._SL1200_.jpg,,,,,,,,,,,,,,,,,,,,,,,
Junior Mints,"Sugar, Sugar, Chocolate Processed with Alkali, Cocoa Butter, Soy Lecithin, Vanillin, Corn Syrup, Confectioner's Glaze, Food Starch-Modified, Peppermint Oil, Invertase",https://images-na.ssl-images-amazon.com/images/I/51VMRULu0YL.jpg,,,,,,,,,,,,,,,,,,,,,,,
Laffy Taffy,"corn syrup, sugar, palm oil, monoglycerides, diglycerides, hydrogenated cottonseed oil, salt, soy lecithin, artificial flavor, yellow 5",https://images-na.ssl-images-amazon.com/images/I/91gOodJID8L._SX425_.jpg,,,,,,,,,,,,,,,,,,,,,,,
Lemonhead,"Sucrose, corn syrup, citric acid, confectioner's glaze, natural flvors, artificial flavor, gum acacia, lemon juice concentrate, modified food starch, carnauba wax, and yellow 5",https://cdn.shopify.com/s/files/1/0972/7116/products/all-city-candy-lemonhead-lemon-candy-5-oz-theater-box-theater-boxes-ferrara-candy-company-1-box-223058_600x.jpg?v=1557259302,,,,,,,,,,,,,,,,,,,,,,,
Lifesavers,"Sugar, corn syrup, high fructose corn syrup, citric acid, natural flavors, artificial flavors,red 40, yellow 5, blue 1",https://images-na.ssl-images-amazon.com/images/I/51OeJG1RxrL._SY300_QL70_ML2_.jpg,,,,,,,,,,,,,,,,,,,,,,,
M&M's,"sugar, cocoa mass, skimmed milk powder, cocoa butter, lactose, milk fat, palm fat, glucose syrup, starch, shea fat, E100, Carmine, E132, E133, E150a, E150c, E150d, E153, E160a, E160e, E162, E163, E171, E172, dextrin,beeswax, carnauba wax, emulsifiers, soya lecithin, E445, coconut oil, salt",https://images-na.ssl-images-amazon.com/images/I/71RNc7ru%2BnL._SX425_.jpg,,,,,,,,,,,,,,,,,,,,,,,
Mamba,"Glucose Syrup, Sugar, Palm Oil, Humectant Sorbitol Syrup, Modified Food Starch, Citric Acid, Artificial Flavors, Coloring Black Carrot Concentrate, Caramel Sugar Syrup, Polyoxyethylene Sorbitan Monostearate, Turmeric Extract,Alpha-Tocopherol",https://cdn.shopify.com/s/files/1/0972/7116/products/all-city-candy-mamba-fruit-chews-265-oz-pack-chewy-storck-case-of-24-366083_600x.jpg?v=1557265211,,,,,,,,,,,,,,,,,,,,,,,
Reese's Peanut Butter Cups,"sugar, cocoa butter, chocolate, nonfat milk, milk fat, lactose, soy lecithin, pgpr, emulsifier, peanuts, sugar, dextrose, salt, tbhq, citric acid",https://images-na.ssl-images-amazon.com/images/I/810zfUmQAqL._SX425_.jpg,,,,,,,,,,,,,,,,,,,,,,,
3 Musketeers,"Milk chocolate, sugar, corn syrup, hydrogenated palm kernel oil, cocoa powder process with alkali, salt, egg whites, artificial flavors, natural flavors",https://cdn.candynation.com/media/catalog/product/cache/cc72865156500766af3a4ff9131f02d7/3/m/3musketeers_snack_size.jpg,,,,,,,,,,,,,,,,,,,,,,,
Nut Lovers,"Sugar, Cocoa Butter, Chocolate, Nonfat Milk, Milk Fat, Soy Lecithin, Salt, PGPR, Vanillin, Peanuts",https://target.scene7.com/is/image/Target/GUEST_ee7b728a-3dd9-46e6-8747-ff2e798af52b?wid=488&hei=488&fmt=pjpeg,,,,,,,,,,,,,,,,,,,,,,,
